study NAme,subid,study version,gender,hisp,ethnicity,english,numlang,parented,othered,premie,age,agegroup,exclude
negtracker,021713_05,5_1,female,no,asian,100,2,4,4,no,6.5,6,0
negtracker,022213_01,5_1,male,yes,white,75,2,4,4,no,3.7,3,0
negtracker,022213_02,5_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
negtracker,022213_03,5_1,male,no,asian,100,1,6,6,no,4.9,4,0
negtracker,022213_04,5_1,male,no,asian,75,2,6,6,no,3.5,3,0
negtracker,022213_05,5_1,male,no,white,90,1,6,5,yes,5,4,0
negtracker,030113_01,5_3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
negtracker,030113_02,5_3,female,no,black,100,1,5,4,no,4.2,4,0
negtracker,030113_03,5_3,male,no,white,100,1,4,4,no,3.1,3,0
negtracker,030113_04,5_3,female,no,white,90,2,6,5,no,4.8,4,0
negtracker,030113_05,5_3,male,yes,white,25,2,6,6,no,4.1,4,1
negtracker,030113_06,5_3,male,no,white,100,1,6,4,no,3.1,3,0
negtracker,030113_07,5_3,male,no, asian,90,3,4,4,no,3.9,3,0
negtracker,030113_08,5_3,female,no,white,50,2,6,6,no,3.4,3,1
negtracker,040613_01,5_4,male,no,white,100,2,6,4,no,3,2,0
negtracker,040613_02,5_4,Female,no,asian,90,2,6,6,no,3.9,3,0
negtracker,040613_03,5_4,male,no,asian,90,2,4,4,no,4.6,4,0
negtracker,040613_04,5_4,male,no,asian,90,2,6,6,no,3.4,3,0
negtracker,040613_05,5_4,female,no,other,50,3,6,6,no,NA,NA,1
negtracker,040613_06,5_4,female,no,asian,75,2,6,6,no,4.9,4,0
negtracker,040613_07,5_4,female,no,other,90,3,6,3,no,4.1,4,0
negtracker,040613_08,5_4,female,yes,mixed,100,1,NA,NA,NA,3,3,0
negtracker,040613_09,5_4,female,no,white,90,4,6,3,no,4.9,4,0
negtracker,040613_10,5_4,female,NA,asian,90,2,4,6,no,4.3,4,0
negtracker,040613_11,5_4,NA,NA,NA,90,NA,NA,NA,NA,1.5,1,0
negtracker,040613_12,5_4,female,no,asian,100,1,3,4,no,3.6,3,0
negtracker,040613_13,5_4,NA,NA,NA,50,NA,NA,NA,NA,2.6,2,1
negtracker,040613_14,5_4,male,yes,NA,90,2,3,3,no,3.9,3,3
negtracker,040613_15,5_4,male,no,asian,75,3,6,6,no,2.6,2,0
negtracker,040613_16,5_4,female,no,white,90,2,4,6,no,4.2,4,0
negtracker,040613_17,5_4,male,no,asian,25,2,NA,NA,no,3.8,3,1
negtracker,040613_18,5_4,female,no,white,75,2,6,4,no,4.6,4,0
negtracker,041113_01,5_2,female,yea,white,75,2,4,6,no,NA,NA,0
negtracker,041113_02,5_2,male,no,asian,90,3,6,6,no,2.7,2,0
negtracker,041113_03,5_2,male,no,black,100,1,3,4,no,4.9,4,0
